step	learning_rate
0	1.3333333333333334e-06
1	2.666666666666667e-06
2	4.000000000000001e-06
3	5.333333333333334e-06
4	6.666666666666667e-06
5	8.000000000000001e-06
6	9.333333333333334e-06
7	1.0666666666666667e-05
8	1.2e-05
9	1.3333333333333333e-05
10	1.4666666666666668e-05
11	1.6000000000000003e-05
12	1.7333333333333336e-05
13	1.866666666666667e-05
14	2e-05
15	2.1333333333333335e-05
16	2.2666666666666668e-05
17	2.4e-05
18	2.5333333333333337e-05
19	2.6666666666666667e-05
20	2.8000000000000003e-05
21	2.9333333333333336e-05
22	3.066666666666667e-05
23	3.2000000000000005e-05
24	3.3333333333333335e-05
25	3.466666666666667e-05
26	3.6e-05
27	3.733333333333334e-05
28	3.866666666666667e-05
29	4e-05
30	4.133333333333333e-05
31	4.266666666666667e-05
32	4.4000000000000006e-05
33	4.5333333333333335e-05
34	4.666666666666667e-05
35	4.8e-05
36	4.933333333333334e-05
37	5.0666666666666674e-05
38	5.2000000000000004e-05
39	5.333333333333333e-05
40	5.466666666666666e-05
41	5.6000000000000006e-05
42	5.7333333333333336e-05
43	5.866666666666667e-05
44	6e-05
45	6.133333333333334e-05
46	6.266666666666667e-05
47	6.400000000000001e-05
48	6.533333333333334e-05
49	6.666666666666667e-05
50	6.800000000000001e-05
51	6.933333333333334e-05
52	7.066666666666667e-05
53	7.2e-05
54	7.333333333333333e-05
55	7.466666666666667e-05
56	7.6e-05
57	7.733333333333333e-05
58	7.866666666666666e-05
59	8e-05
60	8.133333333333334e-05
61	8.266666666666667e-05
62	8.4e-05
63	8.533333333333334e-05
64	8.666666666666667e-05
65	8.800000000000001e-05
66	8.933333333333334e-05
67	9.066666666666667e-05
68	9.200000000000001e-05
69	9.333333333333334e-05
70	9.466666666666667e-05
71	9.6e-05
72	9.733333333333335e-05
73	9.866666666666668e-05
74	0.0001
75	9.984984984984985e-05
76	9.96996996996997e-05
77	9.954954954954956e-05
78	9.93993993993994e-05
79	9.924924924924925e-05
80	9.90990990990991e-05
81	9.894894894894895e-05
82	9.87987987987988e-05
83	9.864864864864865e-05
84	9.849849849849851e-05
85	9.834834834834835e-05
86	9.81981981981982e-05
87	9.804804804804806e-05
88	9.789789789789791e-05
89	9.774774774774775e-05
90	9.75975975975976e-05
91	9.744744744744745e-05
92	9.729729729729731e-05
93	9.714714714714715e-05
94	9.699699699699701e-05
95	9.684684684684685e-05
96	9.66966966966967e-05
97	9.654654654654654e-05
98	9.639639639639641e-05
99	9.624624624624625e-05
100	9.60960960960961e-05
101	9.594594594594595e-05
102	9.57957957957958e-05
103	9.564564564564565e-05
104	9.54954954954955e-05
105	9.534534534534535e-05
106	9.51951951951952e-05
107	9.504504504504504e-05
108	9.48948948948949e-05
109	9.474474474474476e-05
110	9.45945945945946e-05
111	9.444444444444444e-05
112	9.42942942942943e-05
113	9.414414414414416e-05
114	9.3993993993994e-05
115	9.384384384384384e-05
116	9.36936936936937e-05
117	9.354354354354354e-05
118	9.33933933933934e-05
119	9.324324324324324e-05
120	9.30930930930931e-05
121	9.294294294294294e-05
122	9.279279279279279e-05
123	9.264264264264266e-05
124	9.24924924924925e-05
125	9.234234234234235e-05
126	9.219219219219219e-05
127	9.204204204204205e-05
128	9.18918918918919e-05
129	9.174174174174175e-05
130	9.15915915915916e-05
131	9.144144144144145e-05
132	9.129129129129129e-05
133	9.114114114114115e-05
134	9.0990990990991e-05
135	9.084084084084085e-05
136	9.069069069069069e-05
137	9.054054054054055e-05
138	9.039039039039039e-05
139	9.024024024024025e-05
140	9.009009009009009e-05
141	8.993993993993995e-05
142	8.978978978978979e-05
143	8.963963963963964e-05
144	8.948948948948949e-05
145	8.933933933933935e-05
146	8.918918918918919e-05
147	8.903903903903904e-05
148	8.888888888888889e-05
149	8.873873873873875e-05
150	8.85885885885886e-05
151	8.843843843843844e-05
152	8.82882882882883e-05
153	8.813813813813814e-05
154	8.7987987987988e-05
155	8.783783783783784e-05
156	8.76876876876877e-05
157	8.753753753753754e-05
158	8.738738738738738e-05
159	8.723723723723725e-05
160	8.70870870870871e-05
161	8.693693693693694e-05
162	8.678678678678678e-05
163	8.663663663663664e-05
164	8.64864864864865e-05
165	8.633633633633634e-05
166	8.61861861861862e-05
167	8.603603603603604e-05
168	8.588588588588588e-05
169	8.573573573573574e-05
170	8.55855855855856e-05
171	8.543543543543544e-05
172	8.528528528528528e-05
173	8.513513513513514e-05
174	8.4984984984985e-05
175	8.483483483483484e-05
176	8.468468468468469e-05
177	8.453453453453454e-05
178	8.438438438438439e-05
179	8.423423423423423e-05
180	8.408408408408409e-05
181	8.393393393393394e-05
182	8.378378378378379e-05
183	8.363363363363363e-05
184	8.348348348348349e-05
185	8.333333333333334e-05
186	8.318318318318319e-05
187	8.303303303303303e-05
188	8.288288288288289e-05
189	8.273273273273273e-05
190	8.258258258258259e-05
191	8.243243243243243e-05
192	8.228228228228229e-05
193	8.213213213213213e-05
194	8.198198198198198e-05
195	8.183183183183185e-05
196	8.168168168168169e-05
197	8.153153153153153e-05
198	8.138138138138138e-05
199	8.123123123123123e-05
200	8.108108108108109e-05
201	8.093093093093093e-05
202	8.078078078078079e-05
203	8.063063063063063e-05
204	8.048048048048048e-05
205	8.033033033033033e-05
