step	loss
0	10.8255
1	10.7997
2	10.7977
3	10.8221
4	10.7618
5	10.7002
6	10.4109
7	10.2468
8	9.6845
9	9.3259
10	8.9849
11	7.425
12	6.7849
13	5.8086
14	4.7836
15	3.3675
16	2.8741
17	2.6248
18	2.477
19	2.4028
20	2.3616
21	2.3047
22	2.1971
23	2.0937
24	1.9468
25	1.8416
26	1.7544
27	1.6972
28	1.6342
29	1.6072
30	1.5743
31	1.5631
32	1.5519
33	1.5114
34	1.4887
35	1.474
36	1.4586
37	1.4239
38	1.4122
39	1.3829
40	1.3653
41	1.3524
42	1.3274
43	1.3213
44	1.2778
45	1.283
46	1.2535
47	1.2271
48	1.2123
49	1.1834
50	1.143
51	1.1134
52	1.1163
53	1.0946
54	1.0658
55	1.031
56	1.0103
57	0.9892
58	0.9653
59	0.9293
60	0.9083
61	0.9032
62	0.8694
63	0.8468
64	0.8598
65	0.8247
66	0.8057
67	0.7971
68	0.7673
69	0.778
70	0.7651
71	0.7215
72	0.7353
73	0.737
74	0.6934
75	0.7036
76	0.6874
77	0.6743
78	0.6872
79	0.6422
80	0.6682
81	0.6704
82	0.6205
83	0.6342
84	0.6716
85	0.6272
86	0.6369
87	0.5962
88	0.5877
89	0.5867
90	0.5892
91	0.5903
92	0.594
93	0.5773
94	0.5764
95	0.5878
96	0.587
97	0.5497
98	0.5779
99	0.6013
100	0.539
101	0.5376
102	0.5666
103	0.5422
104	0.5496
105	0.5383
106	0.5072
107	0.5547
108	0.5437
109	0.5319
110	0.5034
111	0.5302
112	0.5163
113	0.5095
114	0.5312
115	0.5192
116	0.5123
117	0.5001
118	0.535
119	0.4992
120	0.4819
121	0.5009
122	0.4962
123	0.4766
124	0.4982
125	0.4908
126	0.4876
127	0.4997
128	0.4897
129	0.5142
130	0.4895
131	0.4797
132	0.4488
133	0.475
134	0.4485
135	0.4969
136	0.469
137	0.4576
138	0.4666
139	0.4212
140	0.4845
141	0.4697
142	0.436
143	0.4565
144	0.4582
145	0.4328
146	0.4563
147	0.4439
148	0.4044
149	0.4073
150	0.4425
151	0.4202
152	0.4181
153	0.4211
154	0.4375
155	0.4311
156	0.4421
157	0.4421
158	0.4341
159	0.4412
160	0.4356
161	0.429
162	0.4116
163	0.3961
164	0.4314
165	0.4358
166	0.4115
167	0.4072
168	0.4339
169	0.4202
170	0.4012
171	0.4176
172	0.4091
173	0.3991
174	0.4254
175	0.3703
176	0.3637
177	0.4013
178	0.3951
179	0.3958
180	0.4131
181	0.3901
182	0.3885
183	0.3651
184	0.3677
185	0.3972
186	0.3883
187	0.3976
188	0.3714
189	0.3867
190	0.3645
191	0.362
192	0.3802
193	0.375
194	0.4107
195	0.3754
196	0.3552
197	0.3668
198	0.3699
199	0.3701
200	0.373
201	0.3677
202	0.363
203	0.3547
204	0.3716
205	0.3504
206	0.3769
207	0.3667
208	0.371
209	0.3708
210	0.3511
211	0.3855
212	0.3703
213	0.3527
214	0.3561
215	0.3783
216	0.3392
217	0.3878
218	0.3383
219	0.3333
220	0.3674
221	0.3598
222	0.3228
223	0.342
224	0.3345
225	0.3709
226	0.3411
227	0.323
228	0.3376
229	0.3305
230	0.337
231	0.3551
232	0.3353
233	0.3367
234	0.3404
235	0.34
236	0.3696
237	0.3019
238	0.3152
239	0.3301
240	0.3469
241	0.3605
242	0.3252
243	0.3343
244	0.3434
245	0.3296
246	0.3289
247	0.3345
248	0.3436
249	0.3298
250	0.3389
251	0.3291
252	0.3335
