step	epoch
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.01
20	0.01
21	0.01
22	0.01
23	0.01
24	0.01
25	0.01
26	0.01
27	0.01
28	0.01
29	0.01
30	0.01
31	0.01
32	0.01
33	0.01
34	0.01
35	0.01
36	0.01
37	0.01
38	0.01
39	0.01
40	0.01
41	0.01
42	0.01
43	0.01
44	0.01
45	0.01
46	0.01
47	0.01
48	0.01
49	0.01
50	0.01
51	0.01
52	0.01
53	0.01
54	0.01
55	0.01
56	0.01
57	0.01
58	0.01
59	0.01
60	0.02
61	0.02
62	0.02
63	0.02
64	0.02
65	0.02
66	0.02
67	0.02
68	0.02
69	0.02
70	0.02
71	0.02
72	0.02
73	0.02
74	0.02
75	0.02
76	0.02
77	0.02
78	0.02
79	0.02
80	0.02
81	0.02
82	0.02
83	0.02
84	0.02
85	0.02
86	0.02
87	0.02
88	0.02
89	0.02
90	0.02
91	0.02
92	0.02
93	0.02
94	0.02
95	0.02
96	0.02
97	0.02
98	0.02
99	0.02
100	0.03
101	0.03
102	0.03
103	0.03
104	0.03
105	0.03
106	0.03
107	0.03
108	0.03
109	0.03
110	0.03
111	0.03
112	0.03
113	0.03
114	0.03
115	0.03
116	0.03
117	0.03
118	0.03
119	0.03
120	0.03
121	0.03
122	0.03
123	0.03
124	0.03
125	0.03
126	0.03
127	0.03
128	0.03
129	0.03
130	0.03
131	0.03
132	0.03
133	0.03
134	0.03
135	0.03
136	0.03
137	0.03
138	0.03
139	0.03
140	0.03
141	0.04
142	0.04
143	0.04
144	0.04
145	0.04
146	0.04
147	0.04
148	0.04
149	0.04
150	0.04
151	0.04
152	0.04
153	0.04
154	0.04
155	0.04
156	0.04
157	0.04
158	0.04
159	0.04
160	0.04
161	0.04
162	0.04
163	0.04
164	0.04
165	0.04
166	0.04
167	0.04
168	0.04
169	0.04
170	0.04
171	0.04
172	0.04
173	0.04
174	0.04
175	0.04
176	0.04
177	0.04
178	0.04
179	0.04
180	0.04
181	0.04
182	0.05
183	0.05
184	0.05
185	0.05
186	0.05
187	0.05
188	0.05
189	0.05
190	0.05
191	0.05
192	0.05
193	0.05
194	0.05
195	0.05
196	0.05
