step	learning_rate
0	5.747126436781609e-07
1	1.1494252873563219e-06
2	1.724137931034483e-06
3	2.2988505747126437e-06
4	2.8735632183908046e-06
5	3.448275862068966e-06
7	4.022988505747127e-06
8	4.5977011494252875e-06
9	5.172413793103448e-06
10	5.747126436781609e-06
11	6.321839080459771e-06
12	6.896551724137932e-06
14	7.4712643678160925e-06
15	8.045977011494253e-06
16	8.620689655172414e-06
17	9.195402298850575e-06
18	9.770114942528738e-06
19	1.0344827586206897e-05
21	1.091954022988506e-05
22	1.1494252873563218e-05
23	1.206896551724138e-05
24	1.2643678160919542e-05
25	1.3218390804597702e-05
26	1.3793103448275863e-05
28	1.4367816091954022e-05
29	1.4942528735632185e-05
30	1.5517241379310346e-05
31	1.6091954022988507e-05
32	1.6666666666666667e-05
33	1.7241379310344828e-05
35	1.781609195402299e-05
36	1.839080459770115e-05
37	1.896551724137931e-05
38	1.9540229885057475e-05
39	2.0114942528735632e-05
40	2.0689655172413793e-05
42	2.1264367816091954e-05
43	2.183908045977012e-05
44	2.2413793103448276e-05
45	2.2988505747126437e-05
46	2.3563218390804597e-05
47	2.413793103448276e-05
49	2.4712643678160922e-05
50	2.5287356321839083e-05
51	2.5862068965517244e-05
52	2.6436781609195405e-05
53	2.7011494252873566e-05
54	2.7586206896551727e-05
56	2.8160919540229884e-05
57	2.8735632183908045e-05
58	2.9310344827586206e-05
59	2.988505747126437e-05
60	3.045977011494253e-05
61	3.103448275862069e-05
63	3.160919540229885e-05
64	3.218390804597701e-05
65	3.275862068965517e-05
66	3.3333333333333335e-05
67	3.390804597701149e-05
68	3.4482758620689657e-05
70	3.505747126436782e-05
71	3.563218390804598e-05
72	3.620689655172414e-05
73	3.67816091954023e-05
74	3.735632183908046e-05
75	3.793103448275862e-05
77	3.850574712643678e-05
78	3.908045977011495e-05
79	3.965517241379311e-05
80	4.0229885057471265e-05
81	4.080459770114943e-05
82	4.1379310344827587e-05
84	4.195402298850575e-05
85	4.252873563218391e-05
86	4.3103448275862066e-05
87	4.367816091954024e-05
88	4.4252873563218394e-05
89	4.482758620689655e-05
91	4.5402298850574716e-05
92	4.597701149425287e-05
93	4.655172413793104e-05
94	4.7126436781609195e-05
95	4.770114942528736e-05
96	4.827586206896552e-05
98	4.885057471264368e-05
99	4.9425287356321845e-05
100	5e-05
101	5.057471264367817e-05
102	5.1149425287356324e-05
103	5.172413793103449e-05
105	5.2298850574712646e-05
106	5.287356321839081e-05
107	5.344827586206896e-05
108	5.402298850574713e-05
109	5.4597701149425296e-05
110	5.517241379310345e-05
112	5.574712643678162e-05
113	5.632183908045977e-05
114	5.689655172413794e-05
115	5.747126436781609e-05
116	5.8045977011494254e-05
117	5.862068965517241e-05
119	5.9195402298850576e-05
120	5.977011494252874e-05
121	6.03448275862069e-05
122	6.091954022988506e-05
123	6.149425287356321e-05
124	6.206896551724138e-05
126	6.264367816091954e-05
127	6.32183908045977e-05
128	6.379310344827587e-05
129	6.436781609195403e-05
130	6.49425287356322e-05
131	6.551724137931034e-05
133	6.609195402298851e-05
134	6.666666666666667e-05
135	6.724137931034483e-05
136	6.781609195402298e-05
137	6.839080459770116e-05
138	6.896551724137931e-05
140	6.954022988505747e-05
141	7.011494252873564e-05
142	7.06896551724138e-05
143	7.126436781609196e-05
144	7.183908045977011e-05
145	7.241379310344828e-05
147	7.298850574712644e-05
148	7.35632183908046e-05
149	7.413793103448277e-05
150	7.471264367816091e-05
151	7.528735632183909e-05
152	7.586206896551724e-05
