step	loss
0	10.7411
1	10.7545
2	10.7232
3	10.7723
4	10.7768
5	10.7143
6	10.6473
7	10.5848
8	10.6562
9	10.2679
10	10.2054
11	10.0714
12	9.2723
13	8.9732
14	8.7054
15	8.308
16	7.2991
17	6.1563
18	5.6205
19	5.0893
20	4.5469
21	4.0759
22	3.3806
23	2.9699
24	2.8025
25	2.7522
26	2.7031
27	2.6786
28	2.6473
29	2.6004
30	2.5
31	2.3873
32	2.2545
33	2.1228
34	1.9894
35	1.8655
36	1.7578
37	1.6853
38	1.6295
39	1.5781
40	1.5458
41	1.5206
42	1.4704
43	1.4431
44	1.4196
45	1.3817
46	1.3711
47	1.3404
48	1.2997
49	1.2946
50	1.2623
51	1.2344
52	1.2031
53	1.1836
54	1.1713
55	1.1311
56	1.1194
57	1.0804
58	1.0552
59	1.0307
60	1.007
61	0.9743
62	0.9495
64	0.9283
65	0.9082
66	0.8728
67	0.8479
68	0.8251
69	0.8066
70	0.7849
71	0.7684
72	0.7405
73	0.7492
74	0.7458
75	0.683
76	0.6992
77	0.6959
78	0.6624
79	0.6585
80	0.6348
81	0.6339
82	0.6236
83	0.6242
84	0.639
85	0.6113
86	0.5971
87	0.5766
88	0.5751
89	0.5765
90	0.5494
91	0.5395
92	0.5347
93	0.5116
94	0.5322
95	0.4978
96	0.5339
97	0.5357
98	0.5345
99	0.5093
100	0.4986
101	0.4982
102	0.5073
103	0.4954
104	0.4556
105	0.4884
106	0.4759
107	0.4791
108	0.4552
109	0.4559
110	0.4477
111	0.4279
112	0.4544
113	0.4332
114	0.4063
115	0.4256
116	0.4238
117	0.4252
118	0.4328
119	0.4217
120	0.3832
121	0.3933
122	0.3989
123	0.3864
124	0.3945
125	0.3991
126	0.3797
128	0.3717
129	0.3723
130	0.4106
131	0.3735
132	0.375
133	0.3867
134	0.3422
135	0.3739
136	0.3481
137	0.3456
138	0.3224
139	0.377
140	0.3521
141	0.3564
142	0.3447
143	0.3414
144	0.3283
145	0.3465
146	0.3216
147	0.3278
148	0.3297
149	0.3041
150	0.3254
151	0.3193
152	0.3179
153	0.3144
154	0.3153
155	0.3148
156	0.2723
157	0.3071
158	0.2949
159	0.2976
160	0.2792
161	0.2799
162	0.2868
163	0.2845
164	0.297
165	0.2792
166	0.2908
167	0.251
168	0.2853
169	0.2684
170	0.2677
171	0.2584
172	0.2452
173	0.2635
174	0.2656
175	0.2577
176	0.265
177	0.2571
178	0.2662
179	0.2487
180	0.233
181	0.2441
182	0.2605
183	0.2411
184	0.249
185	0.2444
186	0.2434
187	0.2373
188	0.2343
189	0.2323
190	0.2541
192	0.2146
193	0.2241
194	0.2183
195	0.2261
196	0.2201
197	0.2364
